time,value
2020-12-31T23:00:00,32.6
2021-01-01T00:00:00,40.9
2021-01-01T01:00:00,35.9
2021-01-01T02:00:00,35.9
2021-01-01T03:00:00,37.8
2021-01-01T04:00:00,40.9
2021-01-01T05:00:00,38.1
2021-01-01T06:00:00,41.4
2021-01-01T07:00:00,48.3
2021-01-01T08:00:00,46.6
2021-01-01T09:00:00,47.6
2021-01-01T10:00:00,49.0
2021-01-01T11:00:00,46.9
2021-01-01T12:00:00,43.5
2021-01-01T13:00:00,41.2
2021-01-01T14:00:00,40.7
2021-01-01T15:00:00,40.9
2021-01-01T16:00:00,39.3
2021-01-01T17:00:00,42.1
2021-01-01T18:00:00,41.9
2021-01-01T19:00:00,43.1
2021-01-01T20:00:00,41.9
2021-01-01T21:00:00,39.3
2021-01-01T22:00:00,40.4
2021-01-01T23:00:00,38.5
2021-01-02T00:00:00,35.7
2021-01-02T01:00:00,31.6
2021-01-02T02:00:00,31.6
2021-01-02T03:00:00,32.1
2021-01-02T04:00:00,34.7
2021-01-02T05:00:00,31.4
2021-01-02T06:00:00,33.5
2021-01-02T07:00:00,29.0
2021-01-02T08:00:00,31.9
2021-01-02T09:00:00,31.6
2021-01-02T10:00:00,53.8
2021-01-02T11:00:00,55.4
2021-01-02T12:00:00,51.9
2021-01-02T13:00:00,52.1
2021-01-02T14:00:00,54.2
2021-01-02T15:00:00,54.2
2021-01-02T16:00:00,35.9
2021-01-02T17:00:00,30.0
2021-01-02T18:00:00,31.9
2021-01-02T19:00:00,30.7
2021-01-02T20:00:00,32.8
2021-01-02T21:00:00,35.9
2021-01-02T22:00:00,36.9
2021-01-02T23:00:00,35.7
2021-01-03T00:00:00,41.4
2021-01-03T01:00:00,34.7
2021-01-03T02:00:00,38.1
2021-01-03T03:00:00,35.9
2021-01-03T04:00:00,38.5
2021-01-03T05:00:00,38.8
2021-01-03T06:00:00,37.6
2021-01-03T07:00:00,38.8
2021-01-03T08:00:00,39.7
2021-01-03T09:00:00,41.4
2021-01-03T10:00:00,38.5
2021-01-03T11:00:00,40.7
2021-01-03T12:00:00,33.3
